sequence,cushion,cycle,label,label_origin
333,8.0781,29.082,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
334,7.8557,29.722,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
335,8.2202,29.763,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
336,8.9825,30.276,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
337,8.7596,30.375,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
338,6.6174,29.784,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
339,8.8266,28.522,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
340,8.5536,30.925,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
341,8.2867,27.867,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
342,6.5197,30.273,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
343,8.0432,30.445,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
344,6.6943,30.347,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
345,7.1103,30.188,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
346,7.1644,30.03,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
347,8.5205,29.058,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
348,8.4765,30.615,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
349,8.0126,31.498,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
350,6.4812,29.464,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
351,7.1584,32.986,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
352,8.0452,29.23,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
353,8.0189,32.826,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
354,8.4173,28.194,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
355,8.553,30.805,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
356,7.3834,27.431,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
357,7.8039,30.595,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
358,6.7165,28.622,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
359,7.9635,30.619,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
