parent,child
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Screw_Measure_n
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Check_Ring,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Check_Ring.Check_Ring_Measure
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Check_Ring,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Check_Ring.Check_Ring_Remaining
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Check_Ring,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Check_Ring.Check_Ring_Status
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Back_Flow
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Decompression_Time
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Flow_Peak
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Minimum_Cushion
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Plasticizing_End_Position
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Plasticizing_Screw_Velocity
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Plasticizing_Start_Position
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Plasticizing_Time
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Screw_Position
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Screw_Velocity
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.VP_Position
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Eject.Weighing_Start_Position
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Screw_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Screw_Measure_n.Screw_Measure
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Screw_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Screw_Measure_n.Screw_Measure_Remaining
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Screw_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Screw_Measure_n.Screw_Measure_Zone
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Screw_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Screw_Measure_n.Screw_Status
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Parameter_Set.Eject_End_Position_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Parameter_Set.Eject_Start_Position_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Parameter_Set.Eject_Time_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Parameter_Set.Minimum_Cushion_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Check_Ring
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Screw_Measure_n
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Check_Ring,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Check_Ring.Check_Ring_Limitation
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Check_Ring,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Check_Ring.Check_Ring_Spec
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Screw_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Screw_Measure_n.Screw_Measure_Limitation
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Screw_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Screw_Measure_n.Screw_Measure_Spec
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Screw_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data.Screw_Measure_n.Screw_Measure_Zone
Injection_Molding_Machine.Controller,Injection_Molding_Machine.Controller.Controller_Info
Injection_Molding_Machine.Controller,Injection_Molding_Machine.Controller.Memory_Capacity
Injection_Molding_Machine.Controller.Controller_Info,Injection_Molding_Machine.Controller.Controller_Info.Controller_Interface
Injection_Molding_Machine.Controller.Controller_Info,Injection_Molding_Machine.Controller.Controller_Info.Controller_Model
Injection_Molding_Machine.Controller.Controller_Info,Injection_Molding_Machine.Controller.Controller_Info.Controller_Vendor
Injection_Molding_Machine.Controller.Memory_Capacity,Injection_Molding_Machine.Controller.Memory_Capacity.Free_Capacity
Injection_Molding_Machine.Controller.Memory_Capacity,Injection_Molding_Machine.Controller.Memory_Capacity.Total_Capacity
Injection_Molding_Machine.Controller.Memory_Capacity,Injection_Molding_Machine.Controller.Memory_Capacity.Used_Capacity
Injection_Molding_Machine.Energy,Injection_Molding_Machine.Energy.Electrical_Energy
Injection_Molding_Machine.Energy,Injection_Molding_Machine.Energy.Fluid_Energy
Injection_Molding_Machine.Energy,Injection_Molding_Machine.Energy.Pressure_Air
Injection_Molding_Machine.Energy.Electrical_Energy,Injection_Molding_Machine.Energy.Electrical_Energy.Actual_Power
Injection_Molding_Machine.Energy.Electrical_Energy,Injection_Molding_Machine.Energy.Electrical_Energy.Actual_Specific_Energy
Injection_Molding_Machine.Energy.Electrical_Energy,Injection_Molding_Machine.Energy.Electrical_Energy.Power_Consumption
Injection_Molding_Machine.Energy.Electrical_Energy,Injection_Molding_Machine.Energy.Electrical_Energy.Power_Factor
Injection_Molding_Machine.Energy.Fluid_Energy,Injection_Molding_Machine.Energy.Fluid_Energy.Actual_Power
Injection_Molding_Machine.Energy.Fluid_Energy,Injection_Molding_Machine.Energy.Fluid_Energy.Actual_Specific_Energy
Injection_Molding_Machine.Energy.Fluid_Energy,Injection_Molding_Machine.Energy.Fluid_Energy.Power_Consumption
Injection_Molding_Machine.Energy.Fluid_Energy,Injection_Molding_Machine.Energy.Fluid_Energy.Power_Factor
Injection_Molding_Machine.Energy.Pressure_Air,Injection_Molding_Machine.Energy.Pressure_Air.Actual_Power
Injection_Molding_Machine.Energy.Pressure_Air,Injection_Molding_Machine.Energy.Pressure_Air.Actual_Specific_Energy
Injection_Molding_Machine.Energy.Pressure_Air,Injection_Molding_Machine.Energy.Pressure_Air.Power_Consumption
Injection_Molding_Machine.Energy.Pressure_Air,Injection_Molding_Machine.Energy.Pressure_Air.Power_Factor
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.AssetId
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.ChargeId
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.ClassificationSystem
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.ContactInfo01
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.DeviceRevision
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.HardwareRevision
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.InstanceId
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.ManufacturerId01
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.ManufacturerIdProvider
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.ManufacturerName
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.ManufacturerTypDescription
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.ManufacturerTypId
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.ManufacturerTypName
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.ManufacturingDate
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.SecondaryKeyInstance
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.SecondaryKeyTyp
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.SoftwareRevision
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.SupplierId
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.SupplierIdProvider
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.SupplierName
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.SupplierTypDescription
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.SupplierTypId
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.SupplierTypName
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.TypClass
Injection_Molding_Machine.Identification,Injection_Molding_Machine.Identification.URL
Injection_Molding_Machine.Identification.ContactInfo01,Injection_Molding_Machine.Identification.ContactInfo01.Email
Injection_Molding_Machine.Identification.ContactInfo01,Injection_Molding_Machine.Identification.ContactInfo01.Fax
Injection_Molding_Machine.Identification.ContactInfo01,Injection_Molding_Machine.Identification.ContactInfo01.Name
Injection_Molding_Machine.Identification.ContactInfo01,Injection_Molding_Machine.Identification.ContactInfo01.Phone
Injection_Molding_Machine.Identification.ContactInfo01,Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress
Injection_Molding_Machine.Identification.ContactInfo01,Injection_Molding_Machine.Identification.ContactInfo01.Role
Injection_Molding_Machine.Identification.ContactInfo01,Injection_Molding_Machine.Identification.ContactInfo01.URL
Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress,Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress.City
Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress,Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress.CountryCode
Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress,Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress.PostalCode
Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress,Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress.StateCounty
Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress,Injection_Molding_Machine.Identification.ContactInfo01.PhysicalAddress.Street
Injection_Molding_Machine.Log_Event,Injection_Molding_Machine.Log_Event.Event_Originator
Injection_Molding_Machine.Log_Event,Injection_Molding_Machine.Log_Event.Job_Cycle_Counter
Injection_Molding_Machine.Log_Event,Injection_Molding_Machine.Log_Event.Machine_Mode_Change_Log
Injection_Molding_Machine.Log_Event,Injection_Molding_Machine.Log_Event.Parameter_Change_Log
Injection_Molding_Machine.Log_Event,Injection_Molding_Machine.Log_Event.Production_Status_Change_Log
Injection_Molding_Machine.Log_Event,Injection_Molding_Machine.Log_Event.Remote_Access_Log
Injection_Molding_Machine.Log_Event,Injection_Molding_Machine.Log_Event.Sequence_Change_Log
Injection_Molding_Machine.Log_Event,Injection_Molding_Machine.Log_Event.User
Injection_Molding_Machine.Log_Event,Injection_Molding_Machine.Log_Event.User_Feedback_Log
Injection_Molding_Machine.Log_Event,Injection_Molding_Machine.Log_Event.User_Log
Injection_Molding_Machine.Log_Event.Machine_Mode_Change_Log,Injection_Molding_Machine.Log_Event.Machine_Mode_Change_Log.New_Machine_Mode
Injection_Molding_Machine.Log_Event.Machine_Mode_Change_Log,Injection_Molding_Machine.Log_Event.Machine_Mode_Change_Log.Old_Machine_Mode
Injection_Molding_Machine.Log_Event.Parameter_Change_Log,Injection_Molding_Machine.Log_Event.Parameter_Change_Log.New_Value
Injection_Molding_Machine.Log_Event.Parameter_Change_Log,Injection_Molding_Machine.Log_Event.Parameter_Change_Log.New_Value_Unit
Injection_Molding_Machine.Log_Event.Parameter_Change_Log,Injection_Molding_Machine.Log_Event.Parameter_Change_Log.Old_Value
Injection_Molding_Machine.Log_Event.Parameter_Change_Log,Injection_Molding_Machine.Log_Event.Parameter_Change_Log.Old_Value_Unit
Injection_Molding_Machine.Log_Event.Parameter_Change_Log,Injection_Molding_Machine.Log_Event.Parameter_Change_Log.Parameter_ID
Injection_Molding_Machine.Log_Event.Production_Status_Change_Log,Injection_Molding_Machine.Log_Event.Production_Status_Change_Log.New_Production_Status
Injection_Molding_Machine.Log_Event.Production_Status_Change_Log,Injection_Molding_Machine.Log_Event.Production_Status_Change_Log.Old_Production_Status
Injection_Molding_Machine.Log_Event.Remote_Access_Log,Injection_Molding_Machine.Log_Event.Remote_Access_Log.Origin
Injection_Molding_Machine.Log_Event.Remote_Access_Log,Injection_Molding_Machine.Log_Event.Remote_Access_Log.Remote_User_Name
Injection_Molding_Machine.Log_Event.Remote_Access_Log,Injection_Molding_Machine.Log_Event.Remote_Access_Log.User_Change
Injection_Molding_Machine.Log_Event.Sequence_Change_Log,Injection_Molding_Machine.Log_Event.Sequence_Change_Log.Sequence_Change
Injection_Molding_Machine.Log_Event.User,Injection_Molding_Machine.Log_Event.User.Card_ID
Injection_Molding_Machine.Log_Event.User,Injection_Molding_Machine.Log_Event.User.Is_Present
Injection_Molding_Machine.Log_Event.User,Injection_Molding_Machine.Log_Event.User.Language
Injection_Molding_Machine.Log_Event.User,Injection_Molding_Machine.Log_Event.User.User_ID
Injection_Molding_Machine.Log_Event.User,Injection_Molding_Machine.Log_Event.User.User_Level
Injection_Molding_Machine.Log_Event.User,Injection_Molding_Machine.Log_Event.User.User_Name
Injection_Molding_Machine.Log_Event.User,Injection_Molding_Machine.Log_Event.User.User_Role
Injection_Molding_Machine.Log_Event.User_Feedback_Log,Injection_Molding_Machine.Log_Event.User_Feedback_Log.Message_Classification
Injection_Molding_Machine.Log_Event.User_Log,Injection_Molding_Machine.Log_Event.User_Log.User_Change
Injection_Molding_Machine.Machine_Configuration,Injection_Molding_Machine.Machine_Configuration.Location_Name
Injection_Molding_Machine.Machine_Configuration,Injection_Molding_Machine.Machine_Configuration.Time_Zone_Offset
Injection_Molding_Machine.Machine_Configuration,Injection_Molding_Machine.Machine_Configuration.User_Machine_Name
Injection_Molding_Machine.Maintenance,Injection_Molding_Machine.Maintenance.Additional_Info
Injection_Molding_Machine.Maintenance,Injection_Molding_Machine.Maintenance.Interval
Injection_Molding_Machine.Maintenance,Injection_Molding_Machine.Maintenance.Maintenance_Status
Injection_Molding_Machine.Maintenance,Injection_Molding_Machine.Maintenance.Remaining_Interval
Injection_Molding_Machine.Maintenance,Injection_Molding_Machine.Maintenance.Total_Operation
Injection_Molding_Machine.Operational_Data,Injection_Molding_Machine.Operational_Data.Defect_Info
Injection_Molding_Machine.Operational_Data,Injection_Molding_Machine.Operational_Data.Mold_Info
Injection_Molding_Machine.Operational_Data,Injection_Molding_Machine.Operational_Data.Production_Info
Injection_Molding_Machine.Operational_Data,Injection_Molding_Machine.Operational_Data.Status
Injection_Molding_Machine.Operational_Data.Defect_Info,Injection_Molding_Machine.Operational_Data.Defect_Info.Defect_Quantity
Injection_Molding_Machine.Operational_Data.Defect_Info,Injection_Molding_Machine.Operational_Data.Defect_Info.Defect_Rate
Injection_Molding_Machine.Operational_Data.Mold_Info,Injection_Molding_Machine.Operational_Data.Mold_Info.Enabled_Mold_Number
Injection_Molding_Machine.Operational_Data.Mold_Info,Injection_Molding_Machine.Operational_Data.Mold_Info.No_Cavity
Injection_Molding_Machine.Operational_Data.Mold_Info,Injection_Molding_Machine.Operational_Data.Mold_Info.No_Shot
Injection_Molding_Machine.Operational_Data.Production_Info,Injection_Molding_Machine.Operational_Data.Production_Info.Cycle_Time
Injection_Molding_Machine.Operational_Data.Production_Info,Injection_Molding_Machine.Operational_Data.Production_Info.Machine_Cycle_Time
Injection_Molding_Machine.Operational_Data.Production_Info,Injection_Molding_Machine.Operational_Data.Production_Info.Operating_Ratio
Injection_Molding_Machine.Operational_Data.Production_Info,Injection_Molding_Machine.Operational_Data.Production_Info.Operation_Status
Injection_Molding_Machine.Operational_Data.Production_Info,Injection_Molding_Machine.Operational_Data.Production_Info.Performance_Achievement_Rate
Injection_Molding_Machine.Operational_Data.Production_Info,Injection_Molding_Machine.Operational_Data.Production_Info.Planned_Production_Quantity
Injection_Molding_Machine.Operational_Data.Production_Info,Injection_Molding_Machine.Operational_Data.Production_Info.Product_Name
Injection_Molding_Machine.Operational_Data.Production_Info,Injection_Molding_Machine.Operational_Data.Production_Info.Production_Quantity
Injection_Molding_Machine.Operational_Data.Status,Injection_Molding_Machine.Operational_Data.Status.Machine_Status
Injection_Molding_Machine.Operational_Data.Status,Injection_Molding_Machine.Operational_Data.Status.Start_Status
